Fund_Name,CIK,Series_CIK
Cromwell Greenspring Mid Cap Fund,0001872253,S000080740
Goldman Sachs China Equity Fund,0000822977,S000009337
Goldman Sachs Income Builder Fund,0000914036,S000009342
Goldman Sachs Large Cap Core Fund,0000822977,S000009315
Goldman Sachs Equity Income Fund,0000822977,S000009316
Goldman Sachs International Equity ESG Fund,0000822977,S000009331
Goldman Sachs Small Cap Value Fund,0000822977,S000009323
Goldman Sachs US Equity Insights Fund,,
State Street Instl. Fds. - Institutional Small Cap Equity Fund,,
Invesco Emerging Markets All Cap Fund,0000826644,S000000234
Invesco Small Cap Growth Fund,0000353905,S000000476
Hartford Disciplined Equity HLS Fund,0001053425,S000003224
Harbor Capital Appreciation Fund,0000793769,S000000681
Harbor International Fund,0000793769,S000051342
Harbor Large Cap Value Fund,0000793769,S000000687
Hodges Fund,0000811030,S000081357
Virtus Vontobel Emerging Markets Opportunities Fund,,
Hartford Mid Cap HLS Fund,,
Homestead Value Fund,0000865733,S000010528
Heartland Group Inc. - Value Fund,0000809586,S000041558
Heartland Group Inc. - Value Plus Fund,0000809586,S000003524
Hotchkis & Wiley Mid Cap Value Fund,,
Hotchkis & Wiley Small Cap Value Fund,,
Invesco Real Estate Fund,0001378872,S000014560
Transamerica Multi Managed Balanced Fund,,
NYLI Epoch International Choice Fund,0001469192,S000028522
Columbia Global Value Fund,0001352280,S000010801
Macquarie Natural Resources Fund,0000883622,S000024838
Hartford Dividend & Growth HLS Fund,,
Hartford International Opportunities HLS Fund,0001053425,S000034029
Hartford Small Company HLS Fund,0001053425,S000003214
Hartford Stock HLS Fund,0000045941,S000004101
Columbia Global Opportunities Fund,0001352280,S000031367
IMS Capital Value Fund,0001199046,S000045520
Van Eck International Investors Gold Fund,,
Columbia Dividend Opportunity Fund,0000831025,S000031365
Federated Hermes International Small-Mid Company Fund,0000918199,S000009123
Hartford Capital Appreciation HLS Fund,0001053425,S000034038
Hartford Multi-Asset Income & Growth Fund,,
Macquarie Systematic Emerging Markets Equity Fund,0000883622,S000024829
Macquarie International Core Equity Fund,0000883622,S000024840
Macquarie Global Growth Fund,0000883622,S000024824
Janus Henderson Research Fund,0000277751,S000010489
Janus Henderson Balanced Fund,0001314414,S000010464
Janus Henderson Enterprise Fund,0000277751,S000010490
Janus Henderson Growth & Income Fund,,
Janus Henderson Overseas Fund,0001048702,S000010476
Janus Henderson Venture Fund,0000277751,S000010488
Janus Henderson Global Research Fund,0000277751,S000010489
Jensen Quality Growth Fund,0001141819,S000004905
JPMorgan Emerging Markets Equity Fund,0001659326,S000002615
JPMorgan US Equity Fund,,
JPMorgan US Research Enhanced Equity Fund,,
JPMorgan US Small Companies Fund,,
Virtus KAR Small Cap Core Fund,0000034273,S000021172
Federated Hermes Kaufmann Fund,0000912577,S000009729
DWS Science & Technology Fund,,
DWS Global Income Builder Fund,0000095603,S000006138
Federated Hermes Capital Income Fund,0000789281,S000009073
Leuthold Core Investment Fund,0001511699,S000000847
Federated Hermes Equity Income Fund,0000912577,S000009101
Voya Corporate Leaders Trust Fund,0001063946,S000066935
LKCM Funds - Equity Fund,0000918942,S000032022
LKCM Funds - Small Cap Equity Fund,0000918942,S000032022
Longleaf Partners Fund,0000806636,S000009311
Longleaf Partners Small Cap Fund,0000806636,S000009312
ClearBridge Small Cap Fund,0000880366,S000036165
Franklin International Equity Fund,0000914036,S000066092
ClearBridge Value Trust,0001701878,S000067572
Loomis Sayles Growth Fund,0000052136,S000010954
Loomis Sayles Small Cap Value Fund,0000917469,S000006647
Loomis Sayles Small Cap Growth Fund,0000872649,S000006705
Lazard Emerging Markets Equity Portfolio,0001033669,S000062640
Lazard International Equity Fund,0001532747,S000040392
Lazard International Small Cap Equity Portfolio,0001033669,S000010263
Lazard US Small Cap Equity Select Portfolio,0001033669,S000010269
Morgan Stanley Instl. Fund Tr. - Discovery Portfolio,,
"BlackRock Emerging Markets Fund, Inc.",0000202741,S000002250
BlackRock Equity Dividend Fund,0000353905,S000002243
BlackRock Eurofund,0000790525,S000002177
"BlackRock Advantage Global Fund, Inc.",0000922457,S000002724
